Id,GeoID,Geography,Estimate; Total,Margin of Error; Total
1500000US060371132132,060371132132,"Block Group 2, Census Tract 1132.13, Los Angeles County, California",2183,353
1500000US060371132311,060371132311,"Block Group 1, Census Tract 1132.31, Los Angeles County, California",1558,175
1500000US060371132312,060371132312,"Block Group 2, Census Tract 1132.31, Los Angeles County, California",613,160
1500000US060371132321,060371132321,"Block Group 1, Census Tract 1132.32, Los Angeles County, California",2140,375
1500000US060371132322,060371132322,"Block Group 2, Census Tract 1132.32, Los Angeles County, California",1992,540
1500000US060371132331,060371132331,"Block Group 1, Census Tract 1132.33, Los Angeles County, California",1486,847
1500000US060371132332,060371132332,"Block Group 2, Census Tract 1132.33, Los Angeles County, California",2262,597
1500000US060371132333,060371132333,"Block Group 3, Census Tract 1132.33, Los Angeles County, California",3147,633
1500000US060371132341,060371132341,"Block Group 1, Census Tract 1132.34, Los Angeles County, California",713,187
1500000US060371132342,060371132342,"Block Group 2, Census Tract 1132.34, Los Angeles County, California",4029,410
1500000US060371132351,060371132351,"Block Group 1, Census Tract 1132.35, Los Angeles County, California",1637,251
1500000US060371132371,060371132371,"Block Group 1, Census Tract 1132.37, Los Angeles County, California",2738,387
1500000US060371132372,060371132372,"Block Group 2, Census Tract 1132.37, Los Angeles County, California",1109,259
1500000US060371133011,060371133011,"Block Group 1, Census Tract 1133.01, Los Angeles County, California",616,127
1500000US060371133012,060371133012,"Block Group 2, Census Tract 1133.01, Los Angeles County, California",1697,257
1500000US060371133031,060371133031,"Block Group 1, Census Tract 1133.03, Los Angeles County, California",2528,334
1500000US060371133032,060371133032,"Block Group 2, Census Tract 1133.03, Los Angeles County, California",1771,368
1500000US060371133211,060371133211,"Block Group 1, Census Tract 1133.21, Los Angeles County, California",4581,510
1500000US060371133212,060371133212,"Block Group 2, Census Tract 1133.21, Los Angeles County, California",1287,319
1500000US060371133221,060371133221,"Block Group 1, Census Tract 1133.22, Los Angeles County, California",2139,309
1500000US060371133222,060371133222,"Block Group 2, Census Tract 1133.22, Los Angeles County, California",2013,357
1500000US060371134011,060371134011,"Block Group 1, Census Tract 1134.01, Los Angeles County, California",1736,355
1500000US060371134012,060371134012,"Block Group 2, Census Tract 1134.01, Los Angeles County, California",1754,347
1500000US060371134013,060371134013,"Block Group 3, Census Tract 1134.01, Los Angeles County, California",1775,271
1500000US060371134211,060371134211,"Block Group 1, Census Tract 1134.21, Los Angeles County, California",1736,422
1500000US060371134212,060371134212,"Block Group 2, Census Tract 1134.21, Los Angeles County, California",2319,532
1500000US060371134213,060371134213,"Block Group 3, Census Tract 1134.21, Los Angeles County, California",2516,594
1500000US060371134221,060371134221,"Block Group 1, Census Tract 1134.22, Los Angeles County, California",1517,418
1500000US060371134222,060371134222,"Block Group 2, Census Tract 1134.22, Los Angeles County, California",2636,602
1500000US060371134223,060371134223,"Block Group 3, Census Tract 1134.22, Los Angeles County, California",1302,422
1500000US060371134224,060371134224,"Block Group 4, Census Tract 1134.22, Los Angeles County, California",1116,415
1500000US060371151011,060371151011,"Block Group 1, Census Tract 1151.01, Los Angeles County, California",1543,286
1500000US060371151012,060371151012,"Block Group 2, Census Tract 1151.01, Los Angeles County, California",2104,377
1500000US060371151013,060371151013,"Block Group 3, Census Tract 1151.01, Los Angeles County, California",1605,348
1500000US060371151031,060371151031,"Block Group 1, Census Tract 1151.03, Los Angeles County, California",2294,269
1500000US060371151041,060371151041,"Block Group 1, Census Tract 1151.04, Los Angeles County, California",592,158
1500000US060371151042,060371151042,"Block Group 2, Census Tract 1151.04, Los Angeles County, California",3140,375
1500000US060371152011,060371152011,"Block Group 1, Census Tract 1152.01, Los Angeles County, California",3390,590
1500000US060371152012,060371152012,"Block Group 2, Census Tract 1152.01, Los Angeles County, California",1881,384
1500000US060371152013,060371152013,"Block Group 3, Census Tract 1152.01, Los Angeles County, California",1752,427
1500000US060371152021,060371152021,"Block Group 1, Census Tract 1152.02, Los Angeles County, California",1502,288
1500000US060371152022,060371152022,"Block Group 2, Census Tract 1152.02, Los Angeles County, California",2324,581
1500000US060371152023,060371152023,"Block Group 3, Census Tract 1152.02, Los Angeles County, California",1143,386
1500000US060371153011,060371153011,"Block Group 1, Census Tract 1153.01, Los Angeles County, California",1050,254
1500000US060371153012,060371153012,"Block Group 2, Census Tract 1153.01, Los Angeles County, California",2864,360
1500000US060371153021,060371153021,"Block Group 1, Census Tract 1153.02, Los Angeles County, California",4007,318
1500000US060371154011,060371154011,"Block Group 1, Census Tract 1154.01, Los Angeles County, California",2846,554
1500000US060371154012,060371154012,"Block Group 2, Census Tract 1154.01, Los Angeles County, California",3118,592
1500000US060371154031,060371154031,"Block Group 1, Census Tract 1154.03, Los Angeles County, California",3536,411
1500000US060371154041,060371154041,"Block Group 1, Census Tract 1154.04, Los Angeles County, California",1688,590
1500000US060371154042,060371154042,"Block Group 2, Census Tract 1154.04, Los Angeles County, California",1201,383
1500000US060371171011,060371171011,"Block Group 1, Census Tract 1171.01, Los Angeles County, California",1870,409
1500000US060371171012,060371171012,"Block Group 2, Census Tract 1171.01, Los Angeles County, California",3254,594
1500000US060371171021,060371171021,"Block Group 1, Census Tract 1171.02, Los Angeles County, California",1145,338
1500000US060371171022,060371171022,"Block Group 2, Census Tract 1171.02, Los Angeles County, California",1542,321
1500000US060371172011,060371172011,"Block Group 1, Census Tract 1172.01, Los Angeles County, California",3944,573
1500000US060371172012,060371172012,"Block Group 2, Census Tract 1172.01, Los Angeles County, California",1108,463
1500000US060371172021,060371172021,"Block Group 1, Census Tract 1172.02, Los Angeles County, California",1510,289
1500000US060371172022,060371172022,"Block Group 2, Census Tract 1172.02, Los Angeles County, California",1004,294
1500000US060371173011,060371173011,"Block Group 1, Census Tract 1173.01, Los Angeles County, California",1231,265
1500000US060371173012,060371173012,"Block Group 2, Census Tract 1173.01, Los Angeles County, California",1339,423
