GEOID,SUMLEVEL,ST,COUNTY,BLKGRP,Total,Male,MaleUnder5Yrs,Male5to9Yrs,Male10to14Yrs,Male15to17Yrs,Male18to19Yrs,Male20Yrs,Male21Yrs,Male22to24Yrs,Male25to29Yrs,Male30to34Yrs,Male35to39Yrs,Male40to44Yrs,Male45to49Yrs,Male50to54Yrs,Male55to59Yrs,Male60to61Yrs,Male62to64Yrs,Male65to66Yrs,Male67to69Yrs,Male70to74Yrs,Male75to79Yrs,Male80to84Yrs,Male85YrsOrOver,Female,FemaleUnder5Yrs,Female5to9Yrs,Female10to14Yrs,Female15to17Yrs,Female18to19Yrs,Female20Yrs,Female21Yrs,Female22to24Yrs,Female25to29Yrs,Female30to34Yrs,Female35to39Yrs,Female40to44Yrs,Female45to49Yrs,Female50to54Yrs,Female55to59Yrs,Female60to61Yrs,Female62to64Yrs,Female65to66Yrs,Female67to69Yrs,Female70to74Yrs,Female75to79Yrs,Female80to84Yrs,Female85YrsOrOver,COMPONENT,TRACT
15000US060375715042,150,6,37,2,1078,474,0,18,11,13,0,9,63,0,113,31,0,26,26,36,67,13,0,0,0,37,0,11,0,604,0,21,81,73,0,38,0,23,17,0,84,52,66,12,39,17,0,0,50,12,19,0,0,0,571504
15000US060375715043,150,6,37,3,897,326,2,14,0,0,22,22,0,41,0,26,0,20,44,71,37,0,0,0,0,0,0,27,0,571,64,21,17,32,28,2,17,2,0,34,20,29,42,143,68,8,0,0,0,0,0,44,0,0,571504
15000US060375715044,150,6,37,4,1466,644,112,10,16,31,0,0,0,0,119,65,31,21,53,26,13,16,0,29,0,102,0,0,0,822,14,66,75,0,13,0,17,40,91,66,91,54,4,97,84,16,65,0,0,0,29,0,0,0,571504
15000US060375716001,150,6,37,1,1968,770,154,149,108,110,27,6,0,35,26,13,13,25,22,5,12,8,4,6,7,11,0,0,29,1198,118,128,79,21,60,0,31,104,99,99,64,75,56,32,32,22,39,37,35,0,53,9,5,0,571600
15000US060375717011,150,6,37,1,1580,730,39,61,73,44,32,23,18,0,42,17,85,116,7,74,78,15,0,0,0,6,0,0,0,850,58,46,110,42,0,21,14,37,54,16,85,89,88,80,56,11,6,14,0,0,23,0,0,0,571701
15000US060375717012,150,6,37,2,1441,647,11,10,45,21,8,13,0,98,31,106,7,70,93,48,24,8,16,12,0,17,9,0,0,794,53,21,104,65,53,32,11,16,41,68,45,28,152,41,42,0,9,0,8,5,0,0,0,0,571701
15000US060375717013,150,6,37,3,3547,1757,181,228,138,70,137,15,54,48,32,150,207,34,142,39,51,25,90,24,64,16,0,0,12,1790,173,103,140,119,43,35,65,104,204,73,82,240,106,57,73,0,100,12,19,28,10,0,4,0,571701
15000US060375717031,150,6,37,1,715,279,22,24,0,66,23,0,0,0,0,20,48,0,43,0,22,11,0,0,0,0,0,0,0,436,112,57,18,41,0,26,0,0,18,12,64,19,36,0,9,0,11,0,0,0,13,0,0,0,571703
15000US060375717032,150,6,37,2,1222,501,39,59,29,0,0,0,0,39,0,0,10,34,26,14,9,17,22,30,32,54,37,38,12,721,42,25,23,69,28,0,0,33,0,11,28,0,42,19,36,63,91,96,0,44,41,20,10,0,571703
15000US060375717033,150,6,37,3,632,347,18,41,82,31,0,0,0,0,38,20,0,22,14,9,41,0,27,0,4,0,0,0,0,285,17,13,0,0,16,12,0,0,31,49,20,13,14,0,66,19,0,0,15,0,0,0,0,0,571703
15000US060375717034,150,6,37,4,640,316,40,51,8,0,0,0,8,74,0,20,38,7,0,2,36,0,0,0,7,1,8,8,8,324,84,29,29,14,0,9,0,18,36,13,0,7,27,27,0,0,0,0,0,7,1,0,23,0,571703
15000US060375717041,150,6,37,1,1706,652,78,15,31,61,25,0,10,49,11,64,94,37,69,79,0,0,26,3,0,0,0,0,0,1054,106,67,126,195,30,0,0,47,75,85,15,91,48,30,63,43,0,0,0,29,0,4,0,0,571704
15000US060375717042,150,6,37,2,1013,348,29,11,0,52,0,0,0,0,22,26,0,102,10,8,14,0,0,0,15,50,9,0,0,665,0,44,34,30,29,0,0,130,139,32,20,59,19,0,53,0,49,9,0,9,9,0,0,0,571704
15000US060375717043,150,6,37,3,1338,617,35,57,123,21,0,23,3,54,69,54,10,42,65,33,0,0,0,0,0,15,0,0,13,721,81,118,94,4,0,21,12,22,53,51,26,34,64,68,11,0,5,11,0,35,11,0,0,0,571704
15000US060375718001,150,6,37,1,1028,508,15,15,0,22,0,0,0,0,0,0,0,38,19,75,88,62,34,54,8,35,7,10,26,520,0,15,0,11,8,9,0,30,0,0,28,14,36,77,70,20,99,26,35,7,0,10,25,0,571800
15000US060375718002,150,6,37,2,1430,738,38,51,65,47,23,0,22,0,29,37,11,104,56,54,41,30,35,29,22,11,0,10,23,692,17,32,65,42,16,0,0,0,41,22,20,90,99,23,49,25,11,6,21,46,33,0,34,0,571800
15000US060375718003,150,6,37,3,774,409,48,8,22,0,0,0,0,0,26,19,14,18,46,59,15,42,18,11,20,9,17,9,8,365,46,0,8,8,0,0,0,22,71,16,0,17,22,14,87,0,0,6,0,11,24,6,7,0,571800
15000US060375719001,150,6,37,1,1440,834,146,44,0,34,9,0,0,9,101,58,58,60,105,109,43,13,26,0,0,0,0,19,0,606,49,56,0,22,9,0,9,0,58,92,66,30,75,21,23,13,0,0,10,0,32,0,41,0,571900
15000US060375719002,150,6,37,2,1227,532,13,41,28,0,0,0,0,0,107,60,52,12,7,83,72,0,0,0,23,19,15,0,0,695,94,28,0,28,6,0,0,0,181,52,12,43,34,85,14,11,9,14,0,38,30,16,0,0,571900
15000US060375719003,150,6,37,3,2250,1346,45,26,197,50,49,65,1,148,30,13,57,42,79,90,251,41,0,59,11,26,13,38,15,904,89,41,51,46,0,0,0,20,93,0,32,54,67,76,101,48,69,0,0,23,66,7,21,0,571900
15000US060375719004,150,6,37,4,959,482,68,33,0,5,0,0,0,0,0,21,122,18,52,60,47,0,24,16,1,0,1,14,0,477,14,24,0,0,0,0,0,15,44,0,71,14,7,119,28,113,0,15,0,0,0,0,13,0,571900
15000US060375720011,150,6,37,1,1731,843,71,44,51,0,7,16,16,11,39,43,85,50,82,91,60,32,75,13,57,0,0,0,0,888,84,53,94,11,0,0,0,21,42,86,43,101,22,124,78,14,15,0,18,15,31,36,0,0,572001
15000US060375720012,150,6,37,2,959,505,0,0,107,11,0,0,0,0,20,30,28,26,132,11,82,14,11,0,0,12,21,0,0,454,0,42,0,0,0,0,17,46,0,24,25,0,88,43,74,0,0,11,0,29,55,0,0,0,572001
15000US060375720013,150,6,37,3,1417,716,72,42,64,0,0,0,0,13,92,55,102,18,13,57,40,51,0,59,15,23,0,0,0,701,58,28,54,35,0,0,0,77,19,85,52,20,68,21,88,73,0,0,0,23,0,0,0,0,572001
15000US060375720014,150,6,37,4,1257,664,0,35,10,52,24,41,0,14,28,63,43,35,80,25,136,26,13,17,22,0,0,0,0,593,0,23,53,0,0,0,0,0,15,47,41,44,45,12,71,58,0,34,32,29,73,0,16,0,572001
15000US060375720021,150,6,37,1,1172,434,15,0,12,16,8,27,0,9,29,0,33,50,36,14,19,7,29,21,29,4,17,24,35,738,39,7,49,25,13,0,0,34,46,51,22,43,12,86,28,39,8,3,9,2,23,40,159,0,572002
15000US060375720022,150,6,37,2,2142,915,62,11,26,41,17,0,6,28,93,33,60,98,76,97,19,32,37,9,43,12,19,29,67,1227,83,62,22,18,9,18,0,40,88,43,54,101,62,49,88,10,57,68,4,45,39,119,148,0,572002
